Entity,SiteX,SiteY,Age,GridX,GridY,Veg_dissim,Distance_to_pollen_match,Distance_to_climate_grid,GridID,Tdjf_clim,Tmam_clim,Tjja_clim,Tson_clim,Pdjf_clim,Pmam_clim,Pjja_clim,Pson_clim,Tdjf_disp,Tmam_disp,Tjja_disp,Tson_disp,Pdjf_disp,Pmam_disp,Pjja_disp,Pson_disp,Disp_mean,Disp_variance,Divergence,Clim_dissim,Distance_to_climate_match
24,1113794.865,530181.672,4,1099080.79070696,544404.977185297,0.021,0,20464.7597761419,4954,-17.4890081723645,-4.43359590216597,11.9688238713848,1.91100308702583,67.231102794967,60.9303318264999,103.419686136053,81.5563160136244,1.11866668113675,0.316350134785707,2.00326099654557,0.044162272860517,0.06353941923844,0.141035242577079,0.607068907913938,0.0769609496508169,0.546380575588602,0.482375350716865,161.638370157536,0.209,50000
24,1113794.865,530181.672,4.5,1099080.79070696,544404.977185297,0.008,0,20464.7597761419,4954,-17.5727051726855,-4.48763858603784,12.354712291011,2.03669563719962,67.1514360287247,59.9578445799439,101.901337223951,81.693017365513,1.59057681523536,0.311114395067243,1.22751484387509,0.907823260679733,0.751356207948368,0.0787303433903831,0.622340074967138,0.303247527410446,0.72408793357172,0.259033814596778,146.330179644494,0.226,50000
24,1113794.865,530181.672,5,1099080.79070696,544404.977185297,0.008,0,20464.7597761419,4954,-18.1656657990322,-4.79685669427794,12.4131207051729,1.66288772424445,63.5883504437215,59.4527358422602,102.208015775897,82.2992374963484,0.768619518611016,0.0228816252351688,0.599010296631353,0.330336082218711,1.22835831520189,0.0104014883017482,0.682192839543015,0.349035895493537,0.498854507654555,0.166367672220333,161.294426027749,0.302,70710.678
24,1113794.865,530181.672,5.5,1099080.79070696,544404.977185297,0.015,0,20464.7597761419,4907,-18.0749639522238,-4.80605868165321,12.3114088701079,1.66096259907993,64.4408206632759,57.9954248683741,105.225477765957,81.4018084802433,0.0641307444580961,0.000143378656050428,3.08988111831683,0.217945435519454,0.718817481633127,0.150061264359486,2.02946998618701,0.371019951716415,0.830183670105809,1.26870858380316,147.34203826064,0.569,50000
24,1113794.865,530181.672,6,1099080.79070696,544404.977185297,0.155,606124.764,20464.7597761419,4907,-17.7638880946975,-4.88265178276663,13.0267812627188,2.12247295712559,65.7124797916667,56.7159563741193,99.8598163951404,81.8001374478196,0.156730597304949,0.715085193905443,0.557476674019486,0.72994760206215,3.2670031273278,0.382713517763828,0.435682261731618,0.0585317818577015,0.787896344496622,1.06089913349445,161.233966213678,0.376,0
24,1113794.865,530181.672,6.5,1099080.79070696,544404.977185297,0.21,606124.764,20464.7597761419,4874,-18.1752737291472,-4.87719033321344,13.197645423911,1.86028981783989,61.568977239949,57.6194451773367,100.29430193693,81.5557935842935,1.1540138252191,0.894636506938766,1.61658490899039,2.11690740846069,0.525598101452722,0.568017285961321,0.199877488276366,0.243093185315654,0.914841088826876,0.461319242619462,147.060514416607,0.439,50000
24,1113794.865,530181.672,7,1099080.79070696,544404.977185297,0.066,157914.488,20464.7597761419,4821,-19.6128665275189,-5.35822216998781,13.0264874804889,0.932332750158983,58.1554995832291,56.7589499238477,101.920983296834,80.4658375042832,0.768845709819547,0.414464726441359,0.610749705046597,1.24628033566714,1.60839750115247,0.311124270184448,0.806209072256367,0.240713599210273,0.750848114972275,0.224372630920334,147.254073070712,0.471,50000
29,-1137731.706,-516541.993,0,-1150919.20929304,-505595.022814703,0.027,92677.012,17139.0314586829,1445,-9.8249988269388,6.44629555240638,20.8939888330257,8.36363248387781,18.8832806050475,58.079503008612,96.2662517249222,49.7114295233937,1.67502475970118,0.703307701576037,0.0751042085858593,0.0294141077978291,1.05432041853593,2.06485357808425,0.583648367720718,0.470929803156311,0.832075368144764,0.529384613560009,30.289805294044,0.731,50000
205,-427230.013,-382044.331,0,-450919.209293035,-405595.022814703,0.041,0,33403.7887964982,2805,-8.88301363309401,3.01266121411149,16.9104474797181,7.01409742947327,52.6653412548713,56.5444365496939,76.6301845131931,82.380627900198,1.37291327523693,0.579809066902497,0.0221898562403346,0.0420597429560048,0.335016301885737,3.40171840891172,0.371273021096609,1.32005511323043,0.930629348307533,1.26558230997847,115.697564482694,0.332,0
205,-427230.013,-382044.331,0.5,-450919.209293035,-405595.022814703,0.064,554564.306,33403.7887964982,2805,-8.80492623149913,2.57563657552942,16.6833500839667,6.96861185707966,54.169362336812,59.3012855980206,76.1372801374169,83.7920313158994,0.524959983065303,0.510270964250479,0.341413907631586,0.175802796416105,0.0119072656781059,0.75203086415345,0.178688159599943,0.854826567172232,0.4187375634959,0.0870072093727361,113.996798878664,0.499,111803.399
223,-1142936.57,-231971.55,0,-1150919.20929304,-255595.022814703,0.033,15272.793,24935.7373644694,1450,-12.6146657182386,4.56409903363319,18.7612079911825,6.08603450977,16.7257575742787,50.0413985321603,94.6108587382801,46.1783166432064,3.18048106364329,0.884131168885069,0.206370449691972,0.329715962727364,0.188341498190262,2.17456793096857,0.597553612801623,1.03663951207536,1.07472514987294,1.14344084584589,40.9821777733949,0.326,1e+05
238,5936.198,-433835.637,0,-919.209293035325,-455595.022814703,0.025,0,22813.7563804495,3616,-11.0723353286196,2.99033091369829,17.2778265428167,6.38221174112632,58.4537551688624,60.0056155291371,90.5623021812733,86.514746061555,1.14602272956615,0.505042552734406,0.0101975425486468,0.355967243998028,0.235552879973346,0.998963309701466,1.18543712755774,0.754578757763191,0.648970267980372,0.193430944871632,53.4674963673653,0.386,0
238,5936.198,-433835.637,0.5,-919.209293035325,-455595.022814703,0.04,0,22813.7563804495,3616,-10.935778269081,2.58354872962895,17.0441612219237,6.40772692551331,59.2044099915634,62.4519913249178,89.9871461261267,87.1461005376316,0.459261356946791,0.415498345382811,0.283913610994556,0.2150359520656,0.0409271545349981,0.908307697139666,0.441180119519633,0.137132757870187,0.36265712430678,0.0711984207867738,50.5975768823136,0.569,0
238,5936.198,-433835.637,1,-919.209293035325,-455595.022814703,0.01,0,22813.7563804495,3616,-11.2412486142272,2.13717154771079,16.7978867832919,6.55763754329092,59.5717699513008,63.592440005701,91.7839237072502,88.3165455625889,0.184463255270648,0.788367725030305,0.556720335480942,1.33179002823439,0.688560635057408,0.879338109112935,1.29906331875442,0.390820921915456,0.764890541107063,0.163764287440814,50.4097853763093,0.21,0
238,5936.198,-433835.637,1.5,-919.209293035325,-455595.022814703,0.015,0,22813.7563804495,3616,-11.2255095730233,2.20872386516023,16.853390845242,6.71654922613292,59.9668030685245,65.5040711944599,95.06621359171,89.6831215974712,0.225067768412217,0.464519529813733,0.927905847353998,0.170569978351775,0.272501458975794,1.18892154966605,0.0240926497733202,0.0643138015845438,0.417236572991429,0.179479232506236,49.8374155925168,0.311,0
238,5936.198,-433835.637,2,-919.209293035325,-455595.022814703,0.033,0,22813.7563804495,3616,-11.3432375723543,1.94159157664938,16.633813150327,6.58223798020558,58.9811701635111,61.3817363828539,93.9858687767696,89.8713681498047,0.360283337010406,0.432948559633268,0.600922136503557,0.546044699872565,0.390334012152484,0.66590783642926,1.14587327416132,1.04946866521222,0.648972815121885,0.0881998536910651,47.4506429999683,0.575,50000
238,5936.198,-433835.637,2.5,-919.209293035325,-455595.022814703,0.007,0,22813.7563804495,3616,-11.4793855928993,1.81852201615065,16.7727820850257,6.77668953968497,58.1130215727082,61.8211498750374,93.7860909663155,86.7506428528329,0.843483610612102,0.163335129171518,0.522769028314213,0.784366007489631,0.557179040378909,0.592064877549481,1.19151563516685,0.775611780487682,0.678790638646298,0.0889827218136139,49.2863157780489,0.302,1e+05
238,5936.198,-433835.637,3,-919.209293035325,-455595.022814703,0.017,0,22813.7563804495,3616,-10.8549998368408,1.97607184224951,16.9568044056182,6.85732932900319,57.0588711609897,62.2988257614685,92.543266712385,89.9412520900431,0.707992424485068,0.800012369676872,1.01588580481641,0.0605931545693337,0.0929949637367513,0.775716827433698,0.0469062757514049,0.198078925001195,0.462272593183842,0.159888725597112,51.046103439881,0.568,0
238,5936.198,-433835.637,3.5,-919.209293035325,-455595.022814703,0.028,529144.492,22813.7563804495,3616,-10.9203126148752,1.80101207201956,16.7946730093861,6.94011064290089,58.2133057814758,61.0449947978503,95.8128117216443,87.7542047724797,0.412092035339239,0.885454526475948,0.579480813483497,0.227870276553198,0.0543721981123222,0.42667449840213,0.465292797822326,0.519780186685341,0.44637716660925,0.0598897335583058,49.2388097507817,0.656,70710.678
238,5936.198,-433835.637,4,-919.209293035325,-455595.022814703,0.023,0,22813.7563804495,3616,-11.229979202924,0.969138509832444,16.9205702930817,6.76420395887686,58.4449510593292,61.9583603510144,94.9819980888054,90.6173432424498,0.332926795434788,1.4127990041334,1.52126065133078,0.576449114057949,0.0949087048451071,0.16240154367705,1.5672042977388,0.580926919563714,0.781109628847699,0.385899732817778,45.5168334130041,0.517,0
238,5936.198,-433835.637,4.5,-919.209293035325,-455595.022814703,0.028,0,22813.7563804495,3616,-11.4469427098898,1.55430681148626,17.1675081288688,6.79877181639604,58.1536825834706,61.1189587734162,91.5547012612021,88.338317915456,0.497303245502922,2.30463524251173,1.01217426139526,0.597705414125274,0.231789313804105,0.780300950401328,1.65582910283851,1.20367131922532,1.03542610622556,0.459533623802402,46.3509500103045,0.438,50000
238,5936.198,-433835.637,5,-919.209293035325,-455595.022814703,0.022,0,22813.7563804495,3616,-12.0091881896254,0.769115423062009,17.1733420826743,6.78662122016821,57.116216314763,60.1875627985509,95.4309993477325,88.4449284451599,0.0695382456704743,0.271785921009242,0.0371702933052578,1.09900509857453,0.0517585453447879,0.507087803643739,0.958427471796921,0.742468668527278,0.467155255984029,0.181669236625586,46.9693173233562,0.254,50000
238,5936.198,-433835.637,5.5,-919.209293035325,-455595.022814703,0.052,0,22813.7563804495,3615,-12.0552057086855,0.897671812395836,17.2540602127525,6.70096231735057,54.7640748321703,60.769302620027,94.7825216308122,90.732633668119,0.383305657094429,0.0840247280876926,0.72056991239842,0.247869349302665,0.0995878144520985,0.614020933040689,0.922712564355615,0.0462346898652368,0.389790706074606,0.108517828613919,50.8475546246361,0.576,0
238,5936.198,-433835.637,6,-919.209293035325,-455595.022814703,0.027,0,22813.7563804495,3615,-11.8960509721418,0.710768931078174,17.498021545609,6.86348133312678,56.7991946215766,60.8281185338667,93.3200149407226,87.702636340974,0.914522721343116,1.385577630107,1.37703120658068,0.563516629694052,0.143143055114066,1.24731077974552,0.058573263787643,0.948672002744438,0.829793411139564,0.277309968985444,47.9411995805338,0.356,509901.951
238,5936.198,-433835.637,6.5,-919.209293035325,-455595.022814703,0.023,0,22813.7563804495,3608,-12.4932330367987,0.631566206641936,17.7551131261144,6.49176260940123,55.9123539732561,58.2926742551351,93.6497263437207,87.8164192694754,0.380477893158335,0.490771466588737,0.444948907952492,0.213363419171069,0.21085755750829,0.641945869512264,0.623040550860458,0.165670884508099,0.396384568657468,0.0349056439575188,46.1177479516038,0.289,0
238,5936.198,-433835.637,7,-919.209293035325,-455595.022814703,0.009,0,22813.7563804495,3596,-12.8028740246583,0.539001946599922,17.9047855350293,6.33239574296906,54.18842958937,59.6065888903533,92.6885908365756,88.9796218115056,0.855495700157057,0.451164295808094,0.328704099865932,0.602366142468503,0.239921526263895,1.09340751804297,0.926704082825139,0.535218932686215,0.629122787264726,0.0911845314746606,46.8987869091158,0.418,0
238,5936.198,-433835.637,7.5,-919.209293035325,-455595.022814703,0.012,0,22813.7563804495,3546,-13.2383663673843,0.254258262596533,18.0769993871216,6.21111544428543,53.339816860054,56.3858298493389,91.8908538172807,89.3251126157279,3.54477292232345,0.0530974223369273,1.4485311198286,4.07114183155474,0.29609171416911,0.195169307186121,1.16003473515205,0.118615215030766,1.36093178344772,2.55844308413154,45.7263167226846,0.527,412310.563
238,5936.198,-433835.637,8,-919.209293035325,-455595.022814703,0.039,423389.757,22813.7563804495,3429,-15.3303007244062,-0.749531598184043,17.6582651841732,4.69966154667686,52.0538308019401,58.385483200519,95.1913303433998,86.260629559239,1.49461801507404,0.876071073834174,2.41377563201976,0.451479034229731,0.0818471099178321,0.962566343660511,1.91960701073437,0.24183172128628,1.05522449259459,0.685735198818984,43.3071275217653,0.339,0
238,5936.198,-433835.637,8.5,-919.209293035325,-455595.022814703,0.014,0,22813.7563804495,3294,-15.7704602460173,-1.26515697183915,16.8992276819992,4.19771423333278,51.4620602076914,56.4944095586366,92.1832749340171,85.5265925174568,0.487693487147312,0.480481469365085,0.412012446635996,1.56499632598185,0.0310635072876737,0.402433747244677,0.924059009723979,0.000577213210934591,0.537914650824688,0.255665858969656,42.6937550563952,0.802,585234.996
